cloud,profile,weighting,sigma_bin_left_g_cm2,sigma_bin_right_g_cm2,sigma_bin_center_g_cm2,probability_density_per_ln_sigma,probability_density_normalized_to_peak,common_pixel_count,profile_censored_pixel_count,shared_display_minimum_g_cm2
C,bt12,area,0.01,0.011547819846894581,0.010746078283213174,0.11218076481657574,0.24201015531660766,602263,22,0.01
C,bt12,area,0.011547819846894581,0.01333521432163324,0.012409377607517195,0.13741364897309566,0.2964456391875738,602263,22,0.01
C,bt12,area,0.01333521432163324,0.01539926526059492,0.014330125702369627,0.16354647138485665,0.35282258064516236,602263,22,0.01
C,bt12,area,0.01539926526059492,0.01778279410038923,0.016548170999431816,0.19922094683614128,0.42978395061728264,602263,22,0.01
C,bt12,area,0.01778279410038923,0.02053525026457146,0.019109529749704406,0.23909513414521086,0.5158054559936265,602263,22,0.01
C,bt12,area,0.02053525026457146,0.023713737056616554,0.0220673406908459,0.28689570070235154,0.618926722421346,602263,22,0.01
C,bt12,area,0.023713737056616554,0.027384196342643614,0.025482967479793464,0.3343039864815656,0.7212017124651512,602263,22,0.01
C,bt12,area,0.027384196342643614,0.03162277660168379,0.029427271762092817,0.3762088036998945,0.8116039426523298,602263,22,0.01
C,bt12,area,0.03162277660168379,0.03651741272548377,0.03398208328942559,0.42167876092936313,0.9096973317403425,602263,22,0.01
C,bt12,area,0.03651741272548377,0.042169650342858224,0.03924189758484536,0.44246964215938156,0.9545499800876146,602263,22,0.01
C,bt12,area,0.042169650342858224,0.04869675251658631,0.04531583637600818,0.4489884256748965,0.9686131023496586,602263,22,0.01
C,bt12,area,0.04869675251658631,0.05623413251903491,0.05232991146814947,0.4574801507499775,0.9869324970131421,602263,22,0.01
C,bt12,area,0.05623413251903491,0.06493816315762113,0.060429639023813285,0.46353742746793514,1.0,602263,22,0.01
C,bt12,area,0.06493816315762113,0.07498942093324558,0.06978305848598663,0.45907234920155354,0.9903673835125418,602263,22,0.01
